subject,sessionIndex,rep,H.period,DD.period.x,UD.period.x,H.x,DD.x.a,UD.x.a,H.a,DD.a.t,UD.a.t,H.t,DD.t.1,UD.t.1,H.1,DD.1.7,UD.1.7,H.7,DD.7.p,UD.7.p,H.p,DD.p.a,UD.p.a,H.a,DD.a.d,UD.a.d,H.d,DD.d.n,UD.d.n,H.n,DD.n.Return,UD.n.Return,H.Return
subject2,1,12,0.104033947,0.2117381096,0.1077041626,0.1354050636,0.1466538906,0.011248827,0.1608741283,0.2360911369,0.0752170086,0.1243138313,0.2434618473,0.119148016,0.136523962,0.191298008,0.0547740459,0.0970971584,0.5020320416,0.4049348831,0.127671957,0.1327059269,0.0050339699,0.1826050282,0.1645021439,-0.0181028843,0.199010849,0.167896986,-0.031113863,0.1034319401,0.2525758743,0.1491439343,0.1305630207
subject2,1,13,0.104557991,0.8430509567,0.7384929657,0.1299679279,0.1644079685,0.0344400406,0.1458711624,0.2217190266,0.0758478642,0.1129710674,0.2312691212,0.1182980537,0.1225090027,0.1880288124,0.0655198097,0.093362093,0.4472692013,0.3539071083,0.1099729538,0.1045780182,-0.0053949356,0.1477959156,0.262595892,0.1147999763,0.1517980099,0.1931018829,0.0413038731,0.0974011421,0.6673650742,0.569963932,0.1679060459
subject2,1,14,0.0772299767,0.2575719357,0.180341959,0.1140670776,0.2137730122,0.0997059345,0.1423079968,0.8171420097,0.674834013,0.123306036,0.3617119789,0.2384059429,0.0922238827,0.246147871,0.1539239883,0.103675127,0.5963652134,0.4926900864,0.1082649231,0.1920659542,0.0838010311,0.1277878284,0.1140229702,-0.0137648582,0.153537035,0.1838109493,0.0302739143,0.1087350845,0.2972290516,0.1884939671,0.1329538822
subject2,1,15,0.0742089748,0.2327980995,0.1585891247,0.1532678604,0.1285829544,-0.024684906,0.182448864,0.233011961,0.050563097,0.1301119328,0.2563478947,0.1262359619,0.0986540318,0.2176229954,0.1189689636,0.0847561359,0.5118730068,0.4271168709,0.1163420677,0.1074872017,-0.008854866,0.166675806,0.1615509987,-0.0051248074,0.1672518253,0.1619319916,-0.0053198338,0.0838038921,0.3460888863,0.2622849941,0.1375420094
subject2,1,16,0.0990250111,0.2346510887,0.1356260777,0.1458940506,0.1665349007,0.0206408501,0.1579651833,0.2279930115,0.0700278282,0.127543211,0.2619850636,0.1344418526,0.1520550251,0.2181010246,0.0660459995,0.107063055,0.4513680935,0.3443050385,0.1426358223,0.1626598835,0.0200240612,0.1133339405,0.0598371029,-0.0534968376,0.1818408966,0.2121708393,0.0303299427,0.0900511742,0.2769231796,0.1868720055,0.1395759583
subject2,1,17,0.1092429161,0.2049889565,0.0957460403,0.1452579498,0.2037129402,0.0584549904,0.1431970596,0.2285060883,0.0853090286,0.1293280125,0.2659158707,0.1365878582,0.1427659988,0.2580561638,0.1152901649,0.1129128933,0.4820058346,0.3690929413,0.1140310764,0.1238780022,0.0098469257,0.1858501434,0.172244072,-0.0136060715,0.154820919,0.2088820934,0.0540611744,0.0837328434,0.3560628891,0.2723300457,0.127794981
subject2,1,18,0.1136088371,0.24295187,0.1293430328,0.1293611526,0.1354110241,0.0060498714,0.1516001225,0.2368149757,0.0852148533,0.1222150326,0.2209551334,0.0987401009,0.1632709503,0.1785600185,0.0152890682,0.1128749847,0.4022438526,0.2893688679,0.1283481121,0.1475601196,0.0192120075,0.1531038284,0.0996768475,-0.053426981,0.1827161312,0.1686899662,-0.014026165,0.1040241718,0.3619971275,0.2579729557,0.1270620823
subject2,1,19,0.1313450336,0.2906320095,0.1592869759,0.1179740429,0.1422829628,0.0243089199,0.1699719429,0.2638690472,0.0938971043,0.1280949116,0.2358658314,0.1077709198,0.133439064,0.2233030796,0.0898640156,0.0934569836,0.4624860287,0.3690290451,0.1032249928,0.2018649578,0.0986399651,0.1529350281,0.1287579536,-0.0241770744,0.1357991695,0.2180349827,0.0822358131,0.1087901592,0.3419721127,0.2331819534,0.1333510876
subject2,1,20,0.1033980846,0.2020680904,0.0986700058,0.1182379723,0.1286790371,0.0104410648,0.1529009342,0.2133090496,0.0604081154,0.109566927,0.2267549038,0.1171879768,0.1375820637,0.1727249622,0.0351428986,0.0943660736,0.4769470692,0.3825809956,0.1283068657,0.1533639431,0.0250570774,0.1281459332,0.0787360668,-0.0494098663,0.1628379822,0.2179729939,0.0551350117,0.1187129021,0.3018040657,0.1830911636,0.1486079693
subject2,1,21,0.1149098873,0.1538097858,0.0388998985,0.1603381634,0.1326019764,-0.027736187,0.1770842075,0.238038063,0.0609538555,0.1226711273,0.2211241722,0.0984530449,0.1189069748,0.1593477726,0.0404407978,0.1174371243,0.4565131664,0.3390760422,0.1129348278,0.1281118393,0.0151770115,0.1681890488,0.1291091442,-0.0390799046,0.1465909481,0.2135629654,0.0669720173,0.0933449268,0.301637888,0.2082929611,0.1572091579
