subject,sessionIndex,rep,H.period,DD.period.x,UD.period.x,H.x,DD.x.a,UD.x.a,H.a,DD.a.t,UD.a.t,H.t,DD.t.1,UD.t.1,H.1,DD.1.7,UD.1.7,H.7,DD.7.p,UD.7.p,H.p,DD.p.a,UD.p.a,H.a,DD.a.d,UD.a.d,H.d,DD.d.n,UD.d.n,H.n,DD.n.Return,UD.n.Return,H.Return
arindam,1,1,0.113641023636,0.217427015305,0.103785991669,0.132927894592,0.118571043015,-0.0143568515778,0.138372898102,0.912162065506,0.773789167404,0.119127988815,0.797574996948,0.678447008133,0.10146689415,0.383610010147,0.282143115997,0.0820608139038,0.506403923035,0.424343109131,0.0972628593445,0.10325884819,0.00599598884583,0.0933940410614,0.243005037308,0.149610996246,0.0993020534515,0.219236135483,0.119934082031,0.078281879425,0.668220043182,0.589938163757,0.0888159275055
arindam,1,2,0.103283882141,0.734170913696,0.630887031555,0.138499975204,0.103415966034,-0.0350840091705,0.147980213165,0.696599006653,0.548618793488,0.0823090076447,0.414631128311,0.332322120667,0.092169046402,0.415567874908,0.323398828506,0.0992631912231,0.513497114182,0.414233922958,0.0971488952637,0.0618999004364,-0.0352489948273,0.124536037445,0.21443605423,0.0899000167847,0.119106054306,0.287492990494,0.168386936188,0.0910799503326,0.602777004242,0.511697053909,0.0945270061493
arindam,1,3,0.108417987823,0.241822004318,0.133404016495,0.164494037628,0.104485988617,-0.0600080490112,0.147659063339,0.392816066742,0.245157003403,0.101351976395,0.508926868439,0.407574892044,0.104150056839,0.679858922958,0.575708866119,0.0930562019348,0.472930192947,0.379873991013,0.0978188514709,0.0881679058075,-0.00965094566345,0.133301019669,0.282551050186,0.149250030518,0.103705883026,0.199182033539,0.0954761505127,0.0981159210205,2.58282089233,2.48470497131,0.087170124054
arindam,1,4,0.113388061523,0.241155147552,0.127767086029,0.134218931198,0.109621047974,-0.0245978832245,0.167423963547,0.511320829391,0.343896865845,0.0982542037964,1.10481619835,1.00656199455,0.0930788516998,0.187762975693,0.0946841239929,0.0937600135803,0.532665967941,0.438905954361,0.102412939072,0.0629370212555,-0.0394759178162,0.12915802002,0.24426484108,0.11510682106,0.0981051921844,0.213963985443,0.115858793259,0.0826761722565,0.915475130081,0.832798957825,0.0933589935303
arindam,1,5,0.10724401474,0.203553915024,0.0963099002838,0.122318983078,0.0936000347137,-0.0287189483643,0.12678194046,0.346524953842,0.219743013382,0.0931630134583,0.410998106003,0.317835092545,0.107348918915,0.286438941956,0.179090023041,0.108435869217,0.506814956665,0.398379087448,0.10249209404,0.0415101051331,-0.0609819889069,0.125598907471,0.211580991745,0.0859820842743,0.119639873505,0.207896947861,0.0882570743561,0.0941579341888,0.72384595871,0.629688024521,0.0945830345154
arindam,1,6,0.11722779274,0.163033008575,0.0458052158356,0.157558917999,0.133191823959,-0.0243670940399,0.180093050003,0.461928129196,0.281835079193,0.103193044662,0.529361963272,0.42616891861,0.176774978638,0.480875968933,0.304100990295,0.0991530418396,0.45822095871,0.35906791687,0.1026699543,0.043741941452,-0.0589280128479,0.113122224808,0.189736127853,0.0766139030457,0.106131076813,0.200454950333,0.0943238735199,0.0892300605774,0.367105007172,0.277874946594,0.103158950806
arindam,1,7,0.10169005394,0.172355890274,0.0706658363342,0.143321037292,0.0989871025085,-0.0443339347839,0.13779592514,0.343617916107,0.205821990967,0.0932672023773,0.335952997208,0.24268579483,0.0882852077484,0.360966205597,0.272680997849,0.0936179161072,0.46720790863,0.373589992523,0.0962278842926,0.0517539978027,-0.0444738864899,0.125422954559,0.226083040237,0.100660085678,0.098778963089,0.164595842361,0.0658168792725,0.0877251625061,0.465267181396,0.37754201889,0.0976300239563
arindam,1,8,0.121755123138,0.465957164764,0.344202041626,0.141038894653,0.0784080028534,-0.0626308917999,0.147794008255,0.367250919342,0.219456911087,0.101572990417,0.569204092026,0.467631101608,0.0966768264771,0.246963024139,0.150286197662,0.088164806366,0.561846971512,0.473682165146,0.103662014008,0.0788159370422,-0.0248460769653,0.132615089417,0.307590007782,0.174974918365,0.102984905243,0.35192489624,0.248939990997,0.0938351154327,1.42197918892,1.32814407349,0.098748922348
arindam,1,9,0.103161096573,0.278505086899,0.175343990326,0.126899003983,0.0524311065674,-0.0744678974152,0.149173021317,0.369088888168,0.219915866852,0.106169939041,0.64724612236,0.541076183319,0.104004859924,0.341863870621,0.237859010696,0.0938169956207,0.566661119461,0.47284412384,0.097718000412,0.0871169567108,-0.0106010437012,0.119194984436,0.289356946945,0.170161962509,0.0970320701599,0.327712059021,0.230679988861,0.0926079750061,0.836824893951,0.744216918945,0.0924179553986
arindam,1,10,0.107837915421,0.390993833542,0.283155918121,0.132622003555,0.0626811981201,-0.0699408054352,0.144533872604,0.44718003273,0.302646160126,0.104274988174,1.16938281059,1.06510782242,0.103440999985,0.331145048141,0.227704048157,0.0894250869751,0.495880126953,0.406455039978,0.103746891022,0.0985469818115,-0.00519990921021,0.149066925049,0.23837184906,0.0893049240112,0.115911006927,0.209948062897,0.0940370559692,0.0889298915863,0.652060031891,0.563130140305,0.105053901672
